# TTS 專有名詞讀音表（edge-tts 易讀錯）
# 格式: 詞<TAB>擬定讀音<TAB>備註
愛資哈爾	愛-資-哈-爾	愛資哈爾大學
賽典赤	賽-典-赤(chì)	Sayyid Ajall
馬蘇第	馬-蘇-第(dì)	Mas'udi
鄂圖曼	鄂(è)-圖-曼	Ottoman
帖木兒	帖(tiē)-木-兒	Timur
法蒂瑪	法-蒂-瑪	Fatimid
阿拔斯	阿-拔-斯	Abbasid
納克什班迪	納-克-什(shí)-班-迪	Naqshbandi
虎夫耶	虎-夫-耶(yē)	Khufiyyah
哲赫忍耶	哲-赫-忍-耶(yē)	Jahriyya
門宦	門-宦(huàn)	
拱北	拱-北	
脫維善	脫-維-善	Kasim Tuet
白崇禧	白-崇-禧(xǐ)	
胡登洲	胡-登-洲	
王岱輿	王-岱(dài)-輿(yú)	
劉智	劉-智	
馬歡	馬-歡	
杜環	杜-環	
蒲壽庚	蒲-壽-庚(gēng)	
辛押陀羅	辛-押-陀-羅	
米喇印	米-喇(lǎ)-印	
丁國棟	丁-國-棟	
馬化龍	馬-化-龍	
杜文秀	杜-文-秀	
時子周	時-子-周	
定中明	定-中-明	
馬松亭	馬-松-亭	
達浦生	達-浦-生	
哈德成	哈-德-成	
泉州	泉-州	
鹿港	鹿-港	
懷聖寺	懷-聖-寺	
桂花崗	桂花-崗(gǎng)	
些利街	些-利-街	
愛群道	愛-群-道	
彌敦道	彌-敦-道	
嚤囉	嚤(mō)-囉(luó)	
三寶壟	三-寶-壟(lǒng)	
滿剌加	滿-剌(là)-加	
滇緬	滇(diān)-緬	
高黎貢山	高-黎-貢-山	
